taxon,birth,death,ccp,source
‘  TAXONOMY ROOT  ’,0.2726835476699638,0.17965843589822778,0.9999826236921613,computed
Mammalia,0.2726835476699638,0.17965843589822778,0.9999826236921613,computed
Afrosoricida,0.1176535040050876,0.08062869108473593,0.9981203007518797,computed
Chrysochloridae,0.12835727476235123,0.0,1.0,computed
Amblysomus,0.12835727476235123,0.0,0.0,from Chrysochloridae (not monophyletic)
Calcochloris,0.12835727476235123,0.0,1.0,from Chrysochloridae (cherry)
Carpitalpa,0.12835727476235123,0.0,0,from Chrysochloridae (singleton)
Chlorotalpa,0.12835727476235123,0.0,1.0,from Chrysochloridae (cherry)
Chrysochloris,0.12835727476235123,0.0,0.0,from Chrysochloridae (not monophyletic)
Chrysospalax,0.12835727476235123,0.0,1.0,from Chrysochloridae (cherry)
Cryptochloris,0.12835727476235123,0.0,1.0,from Chrysochloridae (cherry)
Eremitalpa,0.12835727476235123,0.0,0,from Chrysochloridae (singleton)
Huetia,0.12835727476235123,0.0,0,from Chrysochloridae (singleton)
Neamblysomus,0.12835727476235123,0.0,1.0,from Chrysochloridae (cherry)
Incertae sedis in Afrosoricida,0.1176535040050876,0.08062869108473593,0.0,from Afrosoricida (unsampled)
Plesiorycteropus,0.1176535040050876,0.08062869108473593,0.0,from Incertae sedis in Afrosoricida (unsampled)
Tenrecidae,0.08191267747798844,0.0413172239643833,0.9983193277310924,computed
Echinops,0.08191267747798844,0.0413172239643833,0,from Tenrecidae (singleton)
Geogale,0.08191267747798844,0.0413172239643833,0,from Tenrecidae (singleton)
Hemicentetes,0.08191267747798844,0.0413172239643833,1.0,from Tenrecidae (cherry)
Limnogale,0.08191267747798844,0.0413172239643833,0,from Tenrecidae (singleton)
Microgale,0.08191267747798844,0.0413172239643833,0.0,from Tenrecidae (not monophyletic)
Micropotamogale,0.08191267747798844,0.0413172239643833,1.0,from Tenrecidae (cherry)
Oryzorictes,0.08191267747798844,0.0413172239643833,1.0,from Tenrecidae (cherry)
Potamogale,0.08191267747798844,0.0413172239643833,0,from Tenrecidae (singleton)
Setifer,0.08191267747798844,0.0413172239643833,0,from Tenrecidae (singleton)
Tenrec,0.08191267747798844,0.0413172239643833,0,from Tenrecidae (singleton)
Carnivora,0.2555381299803529,0.1005661100741183,0.9994615695248351,computed
Ailuridae,0.2555381299803529,0.1005661100741183,0,from Carnivora (singleton)
Ailurus,0.2555381299803529,0.1005661100741183,0,from Ailuridae (singleton)
Canidae,0.32626672177255256,0.0,0.9928443649373881,computed
Atelocynus,0.32626672177255256,0.0,0,from Canidae (singleton)
Canis,0.32626672177255256,0.0,0.0,from Canidae (not monophyletic)
Cerdocyon,0.32626672177255256,0.0,0,from Canidae (singleton)
Chrysocyon,0.32626672177255256,0.0,0,from Canidae (singleton)
Cuon,0.32626672177255256,0.0,0.0,from Canidae (crown capture probability)
Cynotherium,0.32626672177255256,0.0,0.0,from Canidae (unsampled)
Dusicyon,0.32626672177255256,0.0,1.0,from Canidae (cherry)
Lycaon,0.32626672177255256,0.0,0,from Canidae (singleton)
Nyctereutes,0.32626672177255256,0.0,0,from Canidae (singleton)
Otocyon,0.32626672177255256,0.0,0,from Canidae (singleton)
Pseudalopex,0.32626672177255256,0.0,0.0,from Canidae (not monophyletic)
Speothos,0.32626672177255256,0.0,0,from Canidae (singleton)
Urocyon,0.32626672177255256,0.0,1.0,from Canidae (cherry)
Vulpes,0.32626672177255256,0.0,0.0,from Canidae (not monophyletic)
Xenocyon,0.32626672177255256,0.0,0.0,from Canidae (unsampled)
Eupleridae,0.3993813053155241,0.3654125124930048,0.9669421487603306,computed
Cryptoprocta,0.3993813053155241,0.3654125124930048,0.6666666666666667,from Eupleridae (crown capture probability)
Eupleres,0.3993813053155241,0.3654125124930048,0.0,from Eupleridae (cherry)
Fossa,0.3993813053155241,0.3654125124930048,0,from Eupleridae (singleton)
Galidia,0.3993813053155241,0.3654125124930048,0,from Eupleridae (singleton)
Galidictis,0.3993813053155241,0.3654125124930048,1.0,from Eupleridae (cherry)
Mungotictis,0.3993813053155241,0.3654125124930048,0,from Eupleridae (singleton)
Salanoia,0.3993813053155241,0.3654125124930048,1.0,from Eupleridae (cherry)
Felidae,0.3149725058694481,0.0,0.9966777408637874,computed
Acinonyx,0.3149725058694481,0.0,0,from Felidae (singleton)
Caracal,0.3149725058694481,0.0,1.0,from Felidae (cherry)
Catopuma,0.3149725058694481,0.0,0.0,from Felidae (not monophyletic)
Felis,0.5295090846659358,0.16779170757050046,1.0,computed
Hemimachairodus,0.3149725058694481,0.0,0.0,from Felidae (unsampled)
Herpailurus,0.3149725058694481,0.0,0,from Felidae (singleton)
Homotherium,0.3149725058694481,0.0,0,from Felidae (singleton)
Leopardus,0.3934463045360739,0.0,1.0,computed
Leptailurus,0.3149725058694481,0.0,0,from Felidae (singleton)
Lynx,0.1728819724610835,0.0,1.0,computed
Miracinonyx,0.3149725058694481,0.0,0,from Felidae (singleton)
Neofelis,0.3149725058694481,0.0,0.6666666666666667,from Felidae (crown capture probability)
Otocolobus,0.3149725058694481,0.0,0,from Felidae (singleton)
Panthera,0.2609655940991882,0.0,0.9333333333333333,computed
Pardofelis,0.3149725058694481,0.0,0,from Felidae (singleton)
Prionailurus,0.3791973050624377,0.3786427630656697,1.0,computed
Puma,0.3149725058694481,0.0,0,from Felidae (singleton)
Smilodon,0.3149725058694481,0.0,0,from Felidae (singleton)
Herpestidae,0.23393476635201607,0.0,1.0,computed
Atilax,0.23393476635201607,0.0,0,from Herpestidae (singleton)
Bdeogale,0.4370700316643813,0.0,1.0,computed
Crossarchus,0.23146347910604698,0.0,1.0,computed
Cynictis,0.23393476635201607,0.0,0,from Herpestidae (singleton)
Dologale,0.23393476635201607,0.0,0,from Herpestidae (singleton)
Helogale,0.23393476635201607,0.0,1.0,from Herpestidae (cherry)
Herpestes,0.23393476635201607,0.0,0.0,from Herpestidae (not monophyletic)
Ichneumia,0.23393476635201607,0.0,0,from Herpestidae (singleton)
Liberiictis,0.23393476635201607,0.0,0,from Herpestidae (singleton)
Mungos,0.23393476635201607,0.0,1.0,from Herpestidae (cherry)
Paracynictis,0.23393476635201607,0.0,0,from Herpestidae (singleton)
Rhynchogale,0.23393476635201607,0.0,0,from Herpestidae (singleton)
Suricata,0.23393476635201607,0.0,0,from Herpestidae (singleton)
Hyaenidae,0.13046991831642368,0.0,0.9,computed
Chasmaporthetes,0.13046991831642368,0.0,0.0,from Hyaenidae (unsampled)
Crocuta,0.13046991831642368,0.0,0,from Hyaenidae (singleton)
Hyaena,0.13046991831642368,0.0,1.0,from Hyaenidae (cherry)
Proteles,0.13046991831642368,0.0,0,from Hyaenidae (singleton)
Mephitidae,0.22102329598207365,0.18008780484904105,1.0,computed
Conepatus,1.0000000282819324,1.0000000272819323,1.0,computed
Mephitis,0.22102329598207365,0.18008780484904105,1.0,from Mephitidae (cherry)
