taxon,birth,death,ccp,source
‘  TAXONOMY ROOT  ’,0.26999733378943297,0.18802274040910222,0.9999826236921613,computed
Mammalia,0.26999733378943297,0.18802274040910222,0.9999826236921613,computed
Afrosoricida,0.0756598780141608,0.040979730841815075,0.9981203007518797,computed
Chrysochloridae,0.11725523030698194,0.02833770222742024,1.0,computed
Amblysomus,0.11725523030698194,0.02833770222742024,0.0,from Chrysochloridae (not monophyletic)
Calcochloris,0.11725523030698194,0.02833770222742024,1.0,from Chrysochloridae (cherry)
Carpitalpa,0.11725523030698194,0.02833770222742024,0,from Chrysochloridae (singleton)
Chlorotalpa,0.11725523030698194,0.02833770222742024,1.0,from Chrysochloridae (cherry)
Chrysochloris,0.11725523030698194,0.02833770222742024,0.0,from Chrysochloridae (not monophyletic)
Chrysospalax,0.11725523030698194,0.02833770222742024,1.0,from Chrysochloridae (cherry)
Cryptochloris,0.11725523030698194,0.02833770222742024,1.0,from Chrysochloridae (cherry)
Eremitalpa,0.11725523030698194,0.02833770222742024,0,from Chrysochloridae (singleton)
Huetia,0.11725523030698194,0.02833770222742024,0,from Chrysochloridae (singleton)
Neamblysomus,0.11725523030698194,0.02833770222742024,1.0,from Chrysochloridae (cherry)
Incertae sedis in Afrosoricida,0.0756598780141608,0.040979730841815075,0.0,from Afrosoricida (unsampled)
Plesiorycteropus,0.0756598780141608,0.040979730841815075,0.0,from Incertae sedis in Afrosoricida (unsampled)
Tenrecidae,0.044670755635694254,0.0,0.9983193277310924,computed
Echinops,0.044670755635694254,0.0,0,from Tenrecidae (singleton)
Geogale,0.044670755635694254,0.0,0,from Tenrecidae (singleton)
Hemicentetes,0.044670755635694254,0.0,1.0,from Tenrecidae (cherry)
Limnogale,0.044670755635694254,0.0,0,from Tenrecidae (singleton)
Microgale,0.044670755635694254,0.0,0.0,from Tenrecidae (not monophyletic)
Micropotamogale,0.044670755635694254,0.0,1.0,from Tenrecidae (cherry)
Oryzorictes,0.044670755635694254,0.0,1.0,from Tenrecidae (cherry)
Potamogale,0.044670755635694254,0.0,0,from Tenrecidae (singleton)
Setifer,0.044670755635694254,0.0,0,from Tenrecidae (singleton)
Tenrec,0.044670755635694254,0.0,0,from Tenrecidae (singleton)
Carnivora,0.3179411776575668,0.18454549118306462,0.9994615695248351,computed
Ailuridae,0.3179411776575668,0.18454549118306462,0,from Carnivora (singleton)
Ailurus,0.3179411776575668,0.18454549118306462,0,from Ailuridae (singleton)
Canidae,0.41465050632002526,0.060787694462271426,0.9928443649373881,computed
Atelocynus,0.41465050632002526,0.060787694462271426,0,from Canidae (singleton)
Canis,0.41465050632002526,0.060787694462271426,0.0,from Canidae (not monophyletic)
Cerdocyon,0.41465050632002526,0.060787694462271426,0,from Canidae (singleton)
Chrysocyon,0.41465050632002526,0.060787694462271426,0,from Canidae (singleton)
Cuon,0.41465050632002526,0.060787694462271426,0.0,from Canidae (crown capture probability)
Cynotherium,0.41465050632002526,0.060787694462271426,0.0,from Canidae (unsampled)
Dusicyon,0.41465050632002526,0.060787694462271426,1.0,from Canidae (cherry)
Lycaon,0.41465050632002526,0.060787694462271426,0,from Canidae (singleton)
Nyctereutes,0.41465050632002526,0.060787694462271426,0,from Canidae (singleton)
Otocyon,0.41465050632002526,0.060787694462271426,0,from Canidae (singleton)
Pseudalopex,0.41465050632002526,0.060787694462271426,0.0,from Canidae (not monophyletic)
Speothos,0.41465050632002526,0.060787694462271426,0,from Canidae (singleton)
Urocyon,0.41465050632002526,0.060787694462271426,1.0,from Canidae (cherry)
Vulpes,0.41465050632002526,0.060787694462271426,0.0,from Canidae (not monophyletic)
Xenocyon,0.41465050632002526,0.060787694462271426,0.0,from Canidae (unsampled)
Eupleridae,0.20477178318267608,0.06765476794012197,0.9669421487603306,computed
Cryptoprocta,0.20477178318267608,0.06765476794012197,0.6666666666666667,from Eupleridae (crown capture probability)
Eupleres,0.20477178318267608,0.06765476794012197,0.0,from Eupleridae (cherry)
Fossa,0.20477178318267608,0.06765476794012197,0,from Eupleridae (singleton)
Galidia,0.20477178318267608,0.06765476794012197,0,from Eupleridae (singleton)
Galidictis,0.20477178318267608,0.06765476794012197,1.0,from Eupleridae (cherry)
Mungotictis,0.20477178318267608,0.06765476794012197,0,from Eupleridae (singleton)
Salanoia,0.20477178318267608,0.06765476794012197,1.0,from Eupleridae (cherry)
Felidae,0.38730692514650605,0.0,0.9966777408637874,computed
Acinonyx,0.38730692514650605,0.0,0,from Felidae (singleton)
Caracal,0.38730692514650605,0.0,1.0,from Felidae (cherry)
Catopuma,0.38730692514650605,0.0,0.0,from Felidae (not monophyletic)
Felis,0.5844531732716268,0.0,1.0,computed
Hemimachairodus,0.38730692514650605,0.0,0.0,from Felidae (unsampled)
Herpailurus,0.38730692514650605,0.0,0,from Felidae (singleton)
Homotherium,0.38730692514650605,0.0,0,from Felidae (singleton)
Leopardus,0.5443561907769785,0.018246042462674902,1.0,computed
Leptailurus,0.38730692514650605,0.0,0,from Felidae (singleton)
Lynx,0.26036108323111606,0.0,1.0,computed
Miracinonyx,0.38730692514650605,0.0,0,from Felidae (singleton)
Neofelis,0.38730692514650605,0.0,0.6666666666666667,from Felidae (crown capture probability)
