taxon,birth,death,ccp,source
‘  TAXONOMY ROOT  ’,0.28638958607231496,0.191860873826501,0.9999826236921613,computed
Mammalia,0.28638958607231496,0.191860873826501,0.9999826236921613,computed
Afrosoricida,0.15083785577262307,0.11774548761158407,0.9981203007518797,computed
Chrysochloridae,0.23312580581841852,0.11595733449140391,1.0,computed
Amblysomus,0.23312580581841852,0.11595733449140391,0.0,from Chrysochloridae (not monophyletic)
Calcochloris,0.23312580581841852,0.11595733449140391,1.0,from Chrysochloridae (cherry)
Carpitalpa,0.23312580581841852,0.11595733449140391,0,from Chrysochloridae (singleton)
Chlorotalpa,0.23312580581841852,0.11595733449140391,1.0,from Chrysochloridae (cherry)
Chrysochloris,0.23312580581841852,0.11595733449140391,0.0,from Chrysochloridae (not monophyletic)
Chrysospalax,0.23312580581841852,0.11595733449140391,1.0,from Chrysochloridae (cherry)
Cryptochloris,0.23312580581841852,0.11595733449140391,1.0,from Chrysochloridae (cherry)
Eremitalpa,0.23312580581841852,0.11595733449140391,0,from Chrysochloridae (singleton)
Huetia,0.23312580581841852,0.11595733449140391,0,from Chrysochloridae (singleton)
Neamblysomus,0.23312580581841852,0.11595733449140391,1.0,from Chrysochloridae (cherry)
Incertae sedis in Afrosoricida,0.15083785577262307,0.11774548761158407,0.0,from Afrosoricida (unsampled)
Plesiorycteropus,0.15083785577262307,0.11774548761158407,0.0,from Incertae sedis in Afrosoricida (unsampled)
Tenrecidae,0.08262215051156632,0.03573054112002722,0.9983193277310924,computed
Echinops,0.08262215051156632,0.03573054112002722,0,from Tenrecidae (singleton)
Geogale,0.08262215051156632,0.03573054112002722,0,from Tenrecidae (singleton)
Hemicentetes,0.08262215051156632,0.03573054112002722,1.0,from Tenrecidae (cherry)
Limnogale,0.08262215051156632,0.03573054112002722,0,from Tenrecidae (singleton)
Microgale,0.08262215051156632,0.03573054112002722,0.0,from Tenrecidae (not monophyletic)
Micropotamogale,0.08262215051156632,0.03573054112002722,1.0,from Tenrecidae (cherry)
Oryzorictes,0.08262215051156632,0.03573054112002722,1.0,from Tenrecidae (cherry)
Potamogale,0.08262215051156632,0.03573054112002722,0,from Tenrecidae (singleton)
Setifer,0.08262215051156632,0.03573054112002722,0,from Tenrecidae (singleton)
Tenrec,0.08262215051156632,0.03573054112002722,0,from Tenrecidae (singleton)
Carnivora,0.29009108728900396,0.12393356531610192,0.9994615695248351,computed
Ailuridae,0.29009108728900396,0.12393356531610192,0,from Carnivora (singleton)
Ailurus,0.29009108728900396,0.12393356531610192,0,from Ailuridae (singleton)
Canidae,0.3602657937620467,0.0,0.9928443649373881,computed
Atelocynus,0.3602657937620467,0.0,0,from Canidae (singleton)
Canis,0.3602657937620467,0.0,0.0,from Canidae (not monophyletic)
Cerdocyon,0.3602657937620467,0.0,0,from Canidae (singleton)
Chrysocyon,0.3602657937620467,0.0,0,from Canidae (singleton)
Cuon,0.3602657937620467,0.0,0.0,from Canidae (crown capture probability)
Cynotherium,0.3602657937620467,0.0,0.0,from Canidae (unsampled)
Dusicyon,0.3602657937620467,0.0,1.0,from Canidae (cherry)
Lycaon,0.3602657937620467,0.0,0,from Canidae (singleton)
Nyctereutes,0.3602657937620467,0.0,0,from Canidae (singleton)
Otocyon,0.3602657937620467,0.0,0,from Canidae (singleton)
Pseudalopex,0.3602657937620467,0.0,0.0,from Canidae (not monophyletic)
Speothos,0.3602657937620467,0.0,0,from Canidae (singleton)
Urocyon,0.3602657937620467,0.0,1.0,from Canidae (cherry)
Vulpes,0.3602657937620467,0.0,0.0,from Canidae (not monophyletic)
Xenocyon,0.3602657937620467,0.0,0.0,from Canidae (unsampled)
Eupleridae,0.3909568356272345,0.35322897001693954,0.9669421487603306,computed
Cryptoprocta,0.3909568356272345,0.35322897001693954,0.6666666666666667,from Eupleridae (crown capture probability)
