taxon,birth,death,ccp,source
‘  TAXONOMY ROOT  ’,0.28645828521375116,0.19035568886043436,0.9999826236921613,computed
Mammalia,0.28645828521375116,0.19035568886043436,0.9999826236921613,computed
Afrosoricida,0.13689462088737467,0.08877761010081736,0.9981203007518797,computed
Chrysochloridae,0.1598777818084762,0.08208046271999911,1.0,computed
Amblysomus,0.1598777818084762,0.08208046271999911,0.0,from Chrysochloridae (not monophyletic)
Calcochloris,0.1598777818084762,0.08208046271999911,1.0,from Chrysochloridae (cherry)
Carpitalpa,0.1598777818084762,0.08208046271999911,0,from Chrysochloridae (singleton)
Chlorotalpa,0.1598777818084762,0.08208046271999911,1.0,from Chrysochloridae (cherry)
Chrysochloris,0.1598777818084762,0.08208046271999911,0.0,from Chrysochloridae (not monophyletic)
Chrysospalax,0.1598777818084762,0.08208046271999911,1.0,from Chrysochloridae (cherry)
Cryptochloris,0.1598777818084762,0.08208046271999911,1.0,from Chrysochloridae (cherry)
Eremitalpa,0.1598777818084762,0.08208046271999911,0,from Chrysochloridae (singleton)
Huetia,0.1598777818084762,0.08208046271999911,0,from Chrysochloridae (singleton)
Neamblysomus,0.1598777818084762,0.08208046271999911,1.0,from Chrysochloridae (cherry)
Incertae sedis in Afrosoricida,0.13689462088737467,0.08877761010081736,0.0,from Afrosoricida (unsampled)
Plesiorycteropus,0.13689462088737467,0.08877761010081736,0.0,from Incertae sedis in Afrosoricida (unsampled)
Tenrecidae,0.10967674543903062,0.06356333979649703,0.9983193277310924,computed
Echinops,0.10967674543903062,0.06356333979649703,0,from Tenrecidae (singleton)
Geogale,0.10967674543903062,0.06356333979649703,0,from Tenrecidae (singleton)
Hemicentetes,0.10967674543903062,0.06356333979649703,1.0,from Tenrecidae (cherry)
Limnogale,0.10967674543903062,0.06356333979649703,0,from Tenrecidae (singleton)
Microgale,0.10967674543903062,0.06356333979649703,0.0,from Tenrecidae (not monophyletic)
Micropotamogale,0.10967674543903062,0.06356333979649703,1.0,from Tenrecidae (cherry)
Oryzorictes,0.10967674543903062,0.06356333979649703,1.0,from Tenrecidae (cherry)
Potamogale,0.10967674543903062,0.06356333979649703,0,from Tenrecidae (singleton)
Setifer,0.10967674543903062,0.06356333979649703,0,from Tenrecidae (singleton)
Tenrec,0.10967674543903062,0.06356333979649703,0,from Tenrecidae (singleton)
Carnivora,0.29041679037600704,0.12012683193843328,0.9994615695248351,computed
Ailuridae,0.29041679037600704,0.12012683193843328,0,from Carnivora (singleton)
Ailurus,0.29041679037600704,0.12012683193843328,0,from Ailuridae (singleton)
Canidae,0.38237070432556525,0.0,0.9928443649373881,computed
Atelocynus,0.38237070432556525,0.0,0,from Canidae (singleton)
Canis,0.38237070432556525,0.0,0.0,from Canidae (not monophyletic)
Cerdocyon,0.38237070432556525,0.0,0,from Canidae (singleton)
Chrysocyon,0.38237070432556525,0.0,0,from Canidae (singleton)
Cuon,0.38237070432556525,0.0,0.0,from Canidae (crown capture probability)
Cynotherium,0.38237070432556525,0.0,0.0,from Canidae (unsampled)
Dusicyon,0.38237070432556525,0.0,1.0,from Canidae (cherry)
Lycaon,0.38237070432556525,0.0,0,from Canidae (singleton)
Nyctereutes,0.38237070432556525,0.0,0,from Canidae (singleton)
Otocyon,0.38237070432556525,0.0,0,from Canidae (singleton)
Pseudalopex,0.38237070432556525,0.0,0.0,from Canidae (not monophyletic)
Speothos,0.38237070432556525,0.0,0,from Canidae (singleton)
Urocyon,0.38237070432556525,0.0,1.0,from Canidae (cherry)
Vulpes,0.38237070432556525,0.0,0.0,from Canidae (not monophyletic)
